Model Name,Print Technology,Cartridge/Toner,Wi-Fi Gen,Year
(TBD),,,5,2029
(TBD),,,,2029
(TBD),,,,2028
(TBD),,,,2027
OfficeJet Pro 9130b,Ink,HP 936/937/938,5,2027
LaserJet M214/M216/M220/M223,Laser,,4,2026
Smart Tank xxxxx,Ink,Continuous Ink (bottled),,2026
LaserJet Pro MFP 4112-4115fdw,Laser,HP 230A/230X,6,2026
LaserJet M239/M241/M246/M248,Laser,,4,2026
LaserJet Pro 4006-4009dn,Laser,HP 230A/230X,6,2025
(TBD),,,4,2025
ENVY 6100/6500,Ink,HP 68,5,2024
DesignJet XT950,Large Format,HP 776,5,2023
Color LaserJet Pro MFP 3301-3304/3388 series,Laser,HP 222A/222X,5,2023
OfficeJet Pro 9720 Wide Format AiO,Large Format,HP 936/937/938,5,2023
(TBD),,,,2023
OfficeJet Pro 9120 / 9120b Series,Ink,HP 936/937/938,5,2023
OfficeJet Pro 8030 series,Ink,HP 936/937/938,5,2023
Color LaserJet Pro MFP 4301-4303,Laser,HP 230A/230X,5,2023
DeskJet 2800 / 4200 / 4900,Ink,HP 67/67XL,5,2023
Color LaserJet Pro 4201-4203,Laser,HP 230A/230X,5,2023
(TBD),,,,2023
Color LaserJet Pro 3288,Laser,HP 222A/222X,5,2023
LaserJet 1005/1602/2604,Laser,HP 154A/154X (toner reload),4,2022
"Smart Tank 580-590/5100, 520/5000, 200-210/2100",Ink,Continuous Ink (bottled),5,2022
LaserJet Tank 1020/1502/1504/2502/2504/2506,Laser,HP 154A/154X (toner reload),4,2022
LaserJet M139/M140/M141/M142,Laser,HP 141A/141X,4,2021
LaserJet 310x,Laser,HP 220A/220X,4,2021
LaserJet M109/M110/M111/M112,Laser,HP 141A/141X,4,2021
LaserJet 410x,Laser,HP 220A/220X,4,2021
ENVY Inspire 7200/7900,Ink,HP 64/64XL,5,2021
Smart Tank 7xx/7x0x,Ink,Continuous Ink (bottled),5,2021
LaserJet 300x,Laser,HP 220A/220X,4,2021
ENVY 6000/6400,Ink,HP 67/67XL,5,2021
LaserJet 400x,Laser,HP 220A/220X,4,2021
Color LaserJet Pro MFP M182/M183,Laser,HP 215A,4,2020
Color LaserJet Pro MFP M282/M283,Laser,HP 206A/206X,4,2020
LaserJet M207-M212,Laser,HP 136A/136X,4,2020
OfficeJet Pro 8020/8025 series,Ink,HP 910/910XL,5,2020
OfficeJet Pro 9010/9015/9020 series,Ink,HP 962/962XL,5,2020
Color LaserJet Pro M255,Laser,HP 206A/206X,4,2020
Color LaserJet Pro M155,Laser,HP 215A,4,2020
LaserJet MFP M232-M237,Laser,HP 136A/136X,4,2020
DesignJet T250/T650,Large Format,HP 712,4,2020
DeskJet 2700 / DeskJet Plus 4100,Ink,HP 67/67XL,4,2020
ENVY 6000/6400,Ink,HP 67/67XL,5,2020
Neverstop Laser MFP 1200 series,Laser,HP 103A/143A (toner reload),4,2019
OfficeJet Pro 8020 series (Gen 1),Ink,HP 910/910XL,4,2019
OfficeJet Pro 9010/9020 series (Gen 1),Ink,HP 962/962XL,4,2019
Neverstop Laser 1000 series,Laser,HP 103A/143A (toner reload),4,2019
LaserJet Pro M14/M15/M16,Laser,HP 48A,4,2018
Color LaserJet Pro MFP M479,Laser,HP 415A/415X,4,2018
LaserJet Pro MFP M28/M29/M31,Laser,HP 48A,4,2018
Tango / Tango X Smart Home Printer,Ink,HP 64/64XL,4,2018
"PageWide Pro 772dn/dw, 777z",Large Format,HP 982A/982X,4,2018
LaserJet Pro M404,Laser,HP 58A/58X,4,2018
Smart Tank 500/515/530/615,Ink,Continuous Ink (bottled),4,2018
Color LaserJet Pro M454,Laser,HP 415A/415X,4,2018
PageWide Pro 750dw,Large Format,HP 982A/982X,4,2018
LaserJet Pro MFP M428,Laser,HP 58A/58X,4,2018
Color LaserJet Pro M254,Laser,HP 202A/202X,4,2017
OfficeJet Pro 7720/7730/7740 Wide Format,Large Format,HP 953/953XL,4,2017
PageWide Pro 750dw (Gen 1),Large Format,HP 982A/982X,4,2017
Color LaserJet Pro M153/M154,Laser,HP 204A,4,2017
ENVY Photo 6200/7100/7800,Ink,HP 64/64XL,4,2017
DesignJet T-series (T730/T830),Large Format,HP 728,4,2017
Color LaserJet Pro MFP M180/M181,Laser,HP 204A,4,2017
DeskJet 2600 series,Ink,HP 65/65XL,4,2017
ENVY 5000 series,Ink,HP 65/65XL,4,2017
Color LaserJet Pro MFP M280/M281,Laser,HP 202A/202X,4,2017
LaserJet Pro M501dn,Laser,HP 87A/87X,4,2016
LaserJet Pro M102/M104/M106,Laser,HP 17A,4,2016
OfficeJet Pro 7740 Wide Format AiO,Large Format,HP 953/953XL,4,2016
LaserJet Pro MFP M130/M132/M134,Laser,HP 17A/19A,4,2016
DeskJet 3700 / 2200 series,Ink,HP 65/65XL,4,2016
